Starting training at: Thu Apr 16 10:43:15 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.3334', 'grad_norm': '10.41', 'learning_rate': '7.281e-06', 'epoch': '0.616'}
{'loss': '0.311', 'grad_norm': '20.8', 'learning_rate': '7.262e-06', 'epoch': '0.6197'}
{'loss': '0.3242', 'grad_norm': '7.37', 'learning_rate': '7.244e-06', 'epoch': '0.6233'}
{'loss': '0.3258', 'grad_norm': '6.416', 'learning_rate': '7.225e-06', 'epoch': '0.627'}
{'eval_loss': '0.3188', 'eval_wer': '0.2795', 'eval_runtime': '29.81', 'eval_samples_per_second': '47.86', 'eval_steps_per_second': '6.004', 'epoch': '0.627'}
{'loss': '0.297', 'grad_norm': '10.42', 'learning_rate': '7.207e-06', 'epoch': '0.6307'}
{'loss': '0.318', 'grad_norm': '9.046', 'learning_rate': '7.188e-06', 'epoch': '0.6344'}
{'loss': '0.3358', 'grad_norm': '7.101', 'learning_rate': '7.17e-06', 'epoch': '0.6381'}
{'loss': '0.3275', 'grad_norm': '23.82', 'learning_rate': '7.151e-06', 'epoch': '0.6418'}
{'loss': '0.3015', 'grad_norm': '11.23', 'learning_rate': '7.133e-06', 'epoch': '0.6455'}
{'loss': '0.3376', 'grad_norm': '32.52', 'learning_rate': '7.114e-06', 'epoch': '0.6492'}
{'loss': '0.3101', 'grad_norm': '6.805', 'learning_rate': '7.096e-06', 'epoch': '0.6528'}
{'loss': '0.3293', 'grad_norm': '9.167', 'learning_rate': '7.077e-06', 'epoch': '0.6565'}
{'loss': '0.2969', 'grad_norm': '4.482', 'learning_rate': '7.059e-06', 'epoch': '0.6602'}
{'loss': '0.3197', 'grad_norm': '16.73', 'learning_rate': '7.04e-06', 'epoch': '0.6639'}
{'eval_loss': '0.2898', 'eval_wer': '0.2634', 'eval_runtime': '31.56', 'eval_samples_per_second': '45.22', 'eval_steps_per_second': '5.672', 'epoch': '0.6639'}
{'loss': '0.3105', 'grad_norm': '7.093', 'learning_rate': '7.021e-06', 'epoch': '0.6676'}
