Starting training at: Thu Apr 16 11:01:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.4112', 'grad_norm': '13.37', 'learning_rate': '8.354e-06', 'epoch': '0.402'}
{'loss': '0.427', 'grad_norm': '18.4', 'learning_rate': '8.335e-06', 'epoch': '0.4057'}
{'eval_loss': '0.3699', 'eval_wer': '0.3007', 'eval_runtime': '25.2', 'eval_samples_per_second': '56.62', 'eval_steps_per_second': '7.102', 'epoch': '0.4057'}
{'loss': '0.4124', 'grad_norm': '8.676', 'learning_rate': '8.317e-06', 'epoch': '0.4094'}
{'loss': '0.3987', 'grad_norm': '11.25', 'learning_rate': '8.298e-06', 'epoch': '0.4131'}
{'loss': '0.3852', 'grad_norm': '8.792', 'learning_rate': '8.28e-06', 'epoch': '0.4168'}
{'loss': '0.3797', 'grad_norm': '22.61', 'learning_rate': '8.261e-06', 'epoch': '0.4205'}
{'loss': '0.3891', 'grad_norm': '5.203', 'learning_rate': '8.243e-06', 'epoch': '0.4242'}
{'loss': '0.4023', 'grad_norm': '18.31', 'learning_rate': '8.224e-06', 'epoch': '0.4279'}
{'loss': '0.399', 'grad_norm': '15.1', 'learning_rate': '8.206e-06', 'epoch': '0.4315'}
{'loss': '0.3974', 'grad_norm': '8.998', 'learning_rate': '8.187e-06', 'epoch': '0.4352'}
{'loss': '0.3791', 'grad_norm': '9.613', 'learning_rate': '8.169e-06', 'epoch': '0.4389'}
{'loss': '0.3671', 'grad_norm': '5.534', 'learning_rate': '8.15e-06', 'epoch': '0.4426'}
{'eval_loss': '0.3454', 'eval_wer': '0.2965', 'eval_runtime': '25.04', 'eval_samples_per_second': '56.99', 'eval_steps_per_second': '7.149', 'epoch': '0.4426'}
{'loss': '0.3614', 'grad_norm': '12.94', 'learning_rate': '8.131e-06', 'epoch': '0.4463'}
{'loss': '0.387', 'grad_norm': '48.62', 'learning_rate': '8.113e-06', 'epoch': '0.45'}
{'loss': '0.4251', 'grad_norm': '23.08', 'learning_rate': '8.094e-06', 'epoch': '0.4537'}
{'loss': '0.383', 'grad_norm': '8.37', 'learning_rate': '8.076e-06', 'epoch': '0.4574'}
{'loss': '0.3629', 'grad_norm': '10.13', 'learning_rate': '8.057e-06', 'epoch': '0.4611'}
{'loss': '0.3405', 'grad_norm': '7.645', 'learning_rate': '8.039e-06', 'epoch': '0.4647'}
{'loss': '0.3545', 'grad_norm': '10.42', 'learning_rate': '8.02e-06', 'epoch': '0.4684'}
{'loss': '0.3663', 'grad_norm': '27.58', 'learning_rate': '8.002e-06', 'epoch': '0.4721'}
{'loss': '0.3686', 'grad_norm': '12.1', 'learning_rate': '7.983e-06', 'epoch': '0.4758'}
{'loss': '0.3996', 'grad_norm': '16.93', 'learning_rate': '7.965e-06', 'epoch': '0.4795'}
{'eval_loss': '0.318', 'eval_wer': '0.281', 'eval_runtime': '25.37', 'eval_samples_per_second': '56.25', 'eval_steps_per_second': '7.055', 'epoch': '0.4795'}
{'loss': '0.3463', 'grad_norm': '11.69', 'learning_rate': '7.946e-06', 'epoch': '0.4832'}
{'loss': '0.3642', 'grad_norm': '10.19', 'learning_rate': '7.928e-06', 'epoch': '0.4869'}
{'loss': '0.3374', 'grad_norm': '25.52', 'learning_rate': '7.909e-06', 'epoch': '0.4906'}
{'loss': '0.3387', 'grad_norm': '9.746', 'learning_rate': '7.891e-06', 'epoch': '0.4942'}
{'loss': '0.3721', 'grad_norm': '8.166', 'learning_rate': '7.872e-06', 'epoch': '0.4979'}
{'loss': '0.35', 'grad_norm': '8.786', 'learning_rate': '7.854e-06', 'epoch': '0.5016'}
{'loss': '0.3541', 'grad_norm': '5.929', 'learning_rate': '7.835e-06', 'epoch': '0.5053'}
{'loss': '0.3434', 'grad_norm': '6.618', 'learning_rate': '7.817e-06', 'epoch': '0.509'}
{'loss': '0.3343', 'grad_norm': '21.02', 'learning_rate': '7.798e-06', 'epoch': '0.5127'}
{'loss': '0.3188', 'grad_norm': '10.18', 'learning_rate': '7.78e-06', 'epoch': '0.5164'}
{'eval_loss': '0.3103', 'eval_wer': '0.2785', 'eval_runtime': '25.21', 'eval_samples_per_second': '56.6', 'eval_steps_per_second': '7.099', 'epoch': '0.5164'}
{'loss': '0.3017', 'grad_norm': '14.72', 'learning_rate': '7.761e-06', 'epoch': '0.5201'}
{'loss': '0.3536', 'grad_norm': '3.739', 'learning_rate': '7.743e-06', 'epoch': '0.5238'}
