Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.3549', 'grad_norm': '15.6', 'learning_rate': '7.298e-06', 'epoch': '0.6123'}
{'loss': '0.3328', 'grad_norm': '13.65', 'learning_rate': '7.28e-06', 'epoch': '0.616'}
{'loss': '0.3198', 'grad_norm': '16.53', 'learning_rate': '7.261e-06', 'epoch': '0.6197'}
{'loss': '0.3226', 'grad_norm': '4.019', 'learning_rate': '7.243e-06', 'epoch': '0.6233'}
{'loss': '0.337', 'grad_norm': '5.182', 'learning_rate': '7.224e-06', 'epoch': '0.627'}
{'eval_loss': '0.3208', 'eval_wer': '0.2785', 'eval_runtime': '24.44', 'eval_samples_per_second': '58.38', 'eval_steps_per_second': '7.323', 'epoch': '0.627'}
{'loss': '0.2995', 'grad_norm': '18.49', 'learning_rate': '7.206e-06', 'epoch': '0.6307'}
{'loss': '0.3146', 'grad_norm': '12.77', 'learning_rate': '7.187e-06', 'epoch': '0.6344'}
{'loss': '0.331', 'grad_norm': '3.606', 'learning_rate': '7.169e-06', 'epoch': '0.6381'}
{'loss': '0.387', 'grad_norm': '8.44', 'learning_rate': '7.15e-06', 'epoch': '0.6418'}
{'loss': '0.3118', 'grad_norm': '8.828', 'learning_rate': '7.131e-06', 'epoch': '0.6455'}
{'loss': '0.3241', 'grad_norm': '9.871', 'learning_rate': '7.113e-06', 'epoch': '0.6492'}
{'loss': '0.3233', 'grad_norm': '7.755', 'learning_rate': '7.094e-06', 'epoch': '0.6528'}
{'loss': '0.3251', 'grad_norm': '4.171', 'learning_rate': '7.076e-06', 'epoch': '0.6565'}
{'loss': '0.3231', 'grad_norm': '13.19', 'learning_rate': '7.057e-06', 'epoch': '0.6602'}
{'loss': '0.3227', 'grad_norm': '18.97', 'learning_rate': '7.039e-06', 'epoch': '0.6639'}
{'eval_loss': '0.3198', 'eval_wer': '0.2772', 'eval_runtime': '24.12', 'eval_samples_per_second': '59.16', 'eval_steps_per_second': '7.421', 'epoch': '0.6639'}
{'loss': '0.304', 'grad_norm': '12.64', 'learning_rate': '7.02e-06', 'epoch': '0.6676'}
{'loss': '0.3203', 'grad_norm': '14.34', 'learning_rate': '7.002e-06', 'epoch': '0.6713'}
{'loss': '0.3233', 'grad_norm': '20.07', 'learning_rate': '6.983e-06', 'epoch': '0.675'}
{'loss': '0.3087', 'grad_norm': '10.39', 'learning_rate': '6.965e-06', 'epoch': '0.6787'}
{'loss': '0.3366', 'grad_norm': '30.55', 'learning_rate': '6.947e-06', 'epoch': '0.6824'}
{'loss': '0.3481', 'grad_norm': '9.027', 'learning_rate': '6.928e-06', 'epoch': '0.686'}
{'loss': '0.3342', 'grad_norm': '5.704', 'learning_rate': '6.91e-06', 'epoch': '0.6897'}
{'loss': '0.3389', 'grad_norm': '11.62', 'learning_rate': '6.891e-06', 'epoch': '0.6934'}
{'loss': '0.3282', 'grad_norm': '13.97', 'learning_rate': '6.873e-06', 'epoch': '0.6971'}
{'loss': '0.2903', 'grad_norm': '8.337', 'learning_rate': '6.854e-06', 'epoch': '0.7008'}
